127,В каком году советские войска одержали победу в Курской битве?,1943
128,Кто изображен на правом плече Марадоны?,Че Гевара
129,Что не является знаком препинания?,Твердый знак
130,Растворитель для акварельных красок?,Вода
131,Что такое сруб?,Деревянное строение
132,Что не является кисломолочным продуктом?,Майонез
133,Что такое дельта реки?,Устье
134,Машинка для выравнивания грунта,скрепер
135,Сообразительность?,сметка
136,Какой из этих цветов не относится к тёплым?,Синий
137,Цветы какого из этих растений не голубого цвета?,Лютик
138, Какой статус имело объединение Советских Социалистических Республик?, Содружество
139,в каком году родился и умер А.С.Пушкин,26 мая 1799-29 января 1837
140,"Что означает слово ""бедуин"" на арбском языке?",Обитатели пустыни
141,"На какой вопрос никогда нельзя правда ответить ""Да""?",Спишь
142, Небольшие скалистые острова у невысоких берегов морей,шхерыы
143,Кто стал президентом российской федерации в 2012 году?,Путин
144,BanTis,фирма
145,"Какое воинское звание было у Хозе в опере ""Кармен""",Сержант
146,"Где Николай Чернышевский написал свой роман ""Что делать?""",В тюрме
147,Ворот пиджака портной начинает отмерять с...,7 позвонка
148,Год основания группы Rammstein,1994
149,Фамилия вокалиста Linkin Park,Беннинтгон
150,Сколько атомов кислорода содержится в молекуле озона?,3
151,Сколько горошин войдут в стакан ?,горшины не ходят
152,Много людей сопровождают в последний путь своего родственника/знакомого. Как это называется?,похороны
153,Какому коню в зубы не смотрят?,Дарёному
154,Доброкачественная опухоль надпочечников,феохромацитома
155,Уровень материнской смертности определяется как число погибших матерей на:,100 000 живорожденных
156,В каком году родилась Селена Гомес?,В 1992 году.
157,На какой реке стоит город Саратов?,Волга
158,"За что тянул себя барон Мюнхгаузен, чтобы выбраться из тресины?",за волосы
159,Сколько родных братьев и сестёр было у Рона?,6
160,В какой из этих столиц союзных республик раньше всего появилось метро?,Тбилиси
161,В форме какого животного обычно делают копилки для монет?,Свинья
162,На окошке сидит кошка всё как у кошки но не кошка.,кот
163,В каком образе бог Вишну не появлялся на земле?,Слона
164,"Как заканчивается выражение ""Врет как...""?",Сивый мерин
165,Какое устройство применяли во время инквизиции?,испанский сапог
166,Какой из этих регионов - не на территории Италии?,Савойя
167,Как по-научному называется питьевой спирт?,Этанол
168,Какая из этих премий впоследствии была переименована в Государственную премию СССР?,Сталинская
169,В какой области науки проявились выдающиеся способности Софьи Ковалевской?,Математика
170,Какую из этих опер написал Моцарт?,"""Свадьба Фигаро"""
171,"Какое из этих прозаических произведений, А.С.Пушкин написал от женского имени?","""Рославлев"""
172,Из какого меxа сделаны шапки королевскиx гвардейцев Великобритании?,Медвежий
173,"Назовите вслед за Н. В. Гоголем вторую беду России, кроме дорог ?",Дураки
174,Как иначе называют гевею?,резиновое дерево
175,Что у моряков называется камбузом?,Кухня
176,Как звали знаменитого мореплавателя Кука?,Джеймс
177,Как звали прославленного английского флотоводца Нельсона?,Горацио
178,Чей бюст созерцает Аристотель на портрете Рембрандта?,Гомера
179,"Какие цветы распускаются в парке ""Чаир""?",Розы
180,Из какого злака получают манную крупу?,пшеница
181,Какая террористическая организация похитила и убила премьер-министра Италии Альдо Моро?,Красные бригады
182,"Футболист какого амплуа изобрёл «удар скорпиона», отбив мяч в прыжке пятками?",вратарь
183,Как называется группа из пяти фигурок - официальный талисман Олимпийских игр в Пекине?,"""Дети удачи"""
184,Главный герой какого романа Ф.М. Достоевского мечтал стать Ротшильдом?,Подросток
185,Кто из этих великих российских архитекторов был ярким представителем стиля барокко?,Растрелли
186,Какой из этих химических элементов был открыт в России?,Рутений
187,"Как называется надпись на лицевой или оборотной стороне монеты, медали?",Легенда
188,Какое кодовое название было у первого термоядерного взрывного устройства?,Майк
189,Какой пистолет Остап Бендер обещал дать Кислярскому в романе «Двенадцать стульев»?,парабеллум
190,"Кто написал текст российского гимна «Боже, царя храни»?",Василий Жуковский
191,Кто  добился упразднения ордена тамплиеров в 1312 году?,Филлип IV
192,"Какой чин имел Лукаш, у которого бравый солдат Швейк был денщиком?",Поручик
193,"Какая из этих команд собаке, означает ""смирно""?",Тубо!
194,"Сколько фишек надо поставить подряд в линию, чтобы одержать победу в рэндзю?",5
195,Какой крепёжный не имеет резьбы?,шплинт
196,На чём рисуют специалисты по латте-арт?,На кофейной пенке
197,Кому в пожизненное пользование была предоставлена скрипка работы Антонио Страдивари?,В. Спивакову
198,Что несколько лет назад обнаружил в Мёртвом море израильский учёный Соломон Вассер?,грибы
199,Какой стране принадлежат Шантарские острова?,Россия
200,Назовите имя и отчество морганатического супруга императрицы Елизаветы Петровны графа Разумовского,Алексей Григорьевич
201,"""Заморская провинция"" какой страны до самого последнего времени существовала на территории Китая?",Португалия
202,Героя романа какого из этих писателей звали Ловеласом?,С. Ричардсон
203,Какая олимпийская дистанция плавания самая длинная?,1500 м
204,Какое животное изображено на гербе Челябинска,Верблюд
205,Какая из этих археологических культур относится к мезолиту?,Азильская
206,Кто из великих художников Возрождения расписывал Сикстинскую капеллу Ватикана?,Микеланджело
207,Из скольких слогов традиционно состоит хайку?,17
208,Денежная единица Узбекистана,Сум
209,Ден.единица ЮАР,Рэнд
210,"Ден.единица(Норвегии,Швеции,Дании,Чехии,Эстонии в 2010 году)",Крона
211,Валюта Таджикистана,Сомони
212,"Как назывался первый пассажирский пароход, пересекший Атлантический океан без помощи парусов?",Сириус
213,Как называется русский традиционный пирог?,Расстегай
214,"История какого театра началась со спектакля ""Добрый человек из Сезуана""?",театр на Таганке
215,"Назовите населенный пункт, куда Петр II сослал А. Д. Меньшикова",Березов
216,Какое произведение Моцарта было завершено другим композитором?,Реквием
217,"Их в России 19-го века, называли рыцарями зеленых полей",Шулеры
218,"Кто из этих должностных лиц, заведовал при дворе Екатерины II винными погребами?",Обер-Шенк
219,Известная кулинарная передача со строгим ведущим на рен тв.,Адская кухня
220,Какой актёр поменял своё настоящее имя Альберт на Олег?,Олег Борисов
221,В какой стране зародилась игра кегли?,Германия
222,Что из этих сооружений стало названием романа М. С. Шагинян?,Гидроцентраль
223,"Кто сыграл Мальволио в фильме ""Двенадцатая ночь""?",Меркурьев
224,Какова масса ядра в соревнованиях женщин?,4 кг
225,Какое вино необходимо для приготовления классического крюшона?,Белое столовое
226,Какому времени года соответствует 2-й месяц французского республиканского календаря брюмер?,Осень
227,С каким животным связана история основания города Ярославля?,Медведь
228,Какие московские пруды одно время назывались Пионерскими?,Патриаршие
229,Сборная какой страны стала в 1991 году первым чемпионом мира по женскому футболу?,США
230,Какую оперу поставил в Мариинском театре Андрон Кончаловский?,"""Война и мир"""
231,Какой математический символ ввёл в математику Лейбниц?,интеграл
232,"Сколько стран одновременно победили на конкурсе ""Евровидение"" в 1969 году?",Четыре
233,"Что ввёл в практику князь Николай Юсупов, став директором императорских театров?",нумерацию рядов и кресел
234,Кто такой речной сверчок?,птица
235,"Назовите фамилию режиссера фильма ""9 дней одного года"".",Ромм
236,"Какое прозвище, ставшее фамилией, получил знаменитый шведский хоккеист Свен Юханссон?",Тумба
237,Кто из этих художников написал знаменитый портрет Ф.И. Шаляпина в шубе?,Кустодиев
238,В какиx войскаx служил Лев Толстой?,Артиллерия
239,На какой реке стоит Тверь?,Волга
240,Как по-другому называют койота?,Луговой волк
241,В каком клубе завершил свою карьеру легендарный хоккеист Уэйн Гретцки?,"""Нью-Йорк Рейнджерс"""
242,"Какая книга в русском переводе впервые вышла под названием ""Не любо, не слушай, а врать не мешай""?","""Приключения Мюнхгаузена"""
243,Какую рыбу совершенно справедливо можно назвать макрелью?,скумбрию
244,Какой из русских живописцев взял в качестве псевдонима своё детское прозвище?,В.Г.Перов
245,Как называется яркая звезда - альфа Южной Рыбы?,Фомальгаут
246,Кто основал 1250 лет назад во франкском государстве династию Каролингов?,Пипин Короткий
247,Кого иногда называют спрутом?,осьминога
248,Какой язык является государственным языком Эфиопии?,Амхарский
249,В честь кого получил своё имя популярный салат «Цезарь»?,повара — создателя салата
250,"Отдел пищеварительной системы, на стенкаx которого располагаются ворсинки?",Тонкая кишка
251,Температура абсолютного нуля по Фаренгейту - это:,-457.87 градусов
252,Под каким именем известен любителям советской поэзии Евгений Скурко?,Максим Танк
253,Как называется третья нота в гамме в соль мажор?,Си
254,Какая порода собак является миниатюрной копией грейхаунда?,Левретка
255,"Что означает слово ""Баунти""?",Щедрость
256,В каком веке Ватикан перестал издавать Индекс запрещённых книг?,20
257,В какой день ноября проводятся каждые четыре года выборы президента США?,В 1-й Вт после 1-го Пн
258,Что в свободное время мастерил химик Д.И.Менделеев?,Чемоданы
259,Какое пиротехническое изделие получило название в честь впервые примененного в Индии средства сигнализации?,бенгальский огонь
260,Какой российский политик родился в селе Бутка Свердловской области?,Борис Ельцин
261,"Кому приходилось заниматься разделыванием под орех, что и породило известный неологизм?",столяру
262,Какой народный промысел прославил тобольских мастеров?,резьба по кости
263,"Кто, по русским летописям, заселил европейскую часть нынешней России после потопа?",Иафет
264,Какой жанр голандской живописи 17 века предназначался для напоминания о быстротечности жизни и неизбежности смерти?,Ванитас
265,Как по-научному называется выгорание взрывчатого вещества?,Дефлаграция
266,"Что хакеры называют ""пагой""?",Web-страничку
267,Какой день по народному календарю считается началом бабьего лета?,Семёнов
268,Какой римский император был отцом императора  Тита?,Веспасиан
269,Как раньше называлась игра в шахматы?,Чатуранга
270,В какой пустыне в 1923 году были впервые обнаружены остатки гнезд динозавров с лежащими там окаменевшими яйцами?,Гоби
271,"Что такое ферменты, биологические катализаторы?",Белки
272,На какой реке стоит город Прага?,Влтава
273,Как в 1987 году назывался город Набережные Челны?,Брежнев
274,"Известно, что некоторые буквы кириллицы имели и цифровое значение. Чему равнялась буква ""Ферт""?",500
275,Какой калибр у автоматической винтовки М16 производства США?,5.56 мм
276,Какой бег упомянут в названии короткометражки Леонида Гайдая?,кросс
277,"Что, по мнению Веры из к/ф ""Служебный роман"", делает женщину женщиной?",Обувь
278,Как называется соревнование разных по классу участников с предоставлением форы слабейшим?,Гандикап
279,Какой напиток входит в коктейль «Свободная Куба»?,ром
280,Что из этого является витамином?,Ретинол
281,Кто из этих витязей не был рыцарем круглого стола?,Тристан
282,В каком из этих фильмов не снимался Павел Луспекаев?,"""Дело пестрых"""
283,Национальным танцем какой страны является полька?,Чехия
284,Какой из этих спутников - спутник Сатурна?,Янус
285,Какая из этих звезд не входит в большой летний треугольник?,Сириус
286,Какая река имеет притоки Уругвай и Парагвай?,Парана
287,Каких мужчин боятся больные погонофобией?,Бородатых
288,В какую страну вторглись советские войска 30 ноября 1939 года?,Финляндия
289,Военно-политический союз России с какой страной стал предпосылкой образования Антанты?,Франция
290,Какая сельскохозяйственная культура сама удобряет почву?,Горох
291,Какой народ на Руси называли лопарями?,Саамов
292,"Как называется ненависть, нетерпимость к кому-либо или чему-либо чужому, незнакомому, непривычному?",Ксенофобия
293,Какое из этих австралийских животных не имеет сумки?,Утконос
294,Как называется двугорбый верблюд?,Бактриан
295,Какая религия запрещает изображение человека в натуральную величину?,Ислам
296,За достижения в какой области получил Нобелевскую премию главный редактор Большой советской энциклопедии Александр Прохоров?,физика
297,Какого цвета ягоды ядовитого плюща?,Белые
298,Что человек может сделать для гибискуса?,полить
299,Какую музыкальную группу основал известный рок-певец Крис Норман?,"""Smokie"""
300,Чем в Древней Греции руководил корифей?,хором
301,Какое вещество никогда не переходит в твёрдое состояние при нормальном давлении?,Гелий
302,Для какой нации романшский язык является национальным?,Швейцария
303,Что из этого остров (остальные - города)?,Санта-Исабель
304,За какое время периода Земля оборачивается вокруг Солнца?,За год
305,Какое из этих вин красное?,Мукузани
306,Как называется самый многочисленный отряд млекопитающих?,грызуны
307,Кто в 1949 году стал первым канцлером ФРГ?,Аденауэр
308,Какой город оказался в блокаде во время Великой Отечественной войны?,Ленинград
309,Где прожил последние годы до возвращения в США Эрнест Хемингуэй?,Куба
310,Что является частью музыкального инструмента тромбона?,кулиса
311,Какая школа в 18 веке размещалась в Москве в Сухаревой башне?,навигацкая
312,"Слово кибернетика - производное от греческого слова, означающего:",Искусство управления
313,Что обозначала буква О в аббревиатуре ОГПУ?,Объединенное
314,У автомобилей какой из этих стран международный регистрационный знак ES?,Сальвадор
315,"Как называли низкосортную, дешёвую колбасу?","""собачья радость"""
316,"Какое из этих мясных блюд, можно отнести к колбасным изделиям?",Зельц
317,Музыка к какому балету написана не Родионом Щедриным?,«Спартак»
318,"Где два Стивена, Джобс и Возняк, собрали свой первый полноценный персональный компьютер?",в гараже
319,Кто стрелял в Мадонну во время выступления на стадионе Джонна Кеннеди?,Шон Пенн
320,Какой танец на придворных балах начала XIX века исполняли первым?,Полонез
321,Какой город является административным центром (столицей) штата Техас?,Остин
322,Как называется один из важнейших фондовых индексов в Японии?,Nikkei
323,Какой город с 1845 по 1936 годы называли Тифлисом?,Тбилиси
324,"Как называется документ, определяющий правила награждения орденом и его ношения?",Статут
325,"Как назывался ящик, в который при царе Алексее Михайловиче складывали жалобы на дьяков и подьячих?",долгий
326,"Кто автор подписи на Могиле Неизвестного Солдата «Имя твоё неизвестно, подвиг твой бессмертен»?",Сергей Михалков
327,Как настоящая фамилия Игоря Северянина?,Лотарев
328,"Как звали последнего царя Македонии, правившего до 168 г. до н. э.?",Персей
329,Как называется фильм Серджо Леоне?,«Однажды в Америке»
330,"Кого В.Серов изобразил на картине ""Девочка с персиками""?",Дочь мецената Саввы Мамонтова
331,В каком отделе позвоночника человека позвонки являются неподвижными?,В крестцовом
332,Какую из этих пьес написал М. Булгаков?,"""Зойкина квартира"""
333,"Судебный психиатр и криминалист, родоначальник антропологического направления в криминологии",Ч. Ломброзо
334,Какой из этих драгоценных камней является разновидностью минералов циркона?,Гиацинт
335,Кто из этих военачальников не был министром обороны СССР?,И. С. Конев
336,Кто убил Петра Столыпина?,Богров
337,"С кого собирал налоги Земский приказ, созданный в 1564 году и просуществовавший до 1699 года?",с жителей Москвы
338,Чем или кем при российском дворе заведовал шталмейстер?,Царскими конюшнями
339,На гербе какого государства изображены черные пантеры?,Габон
340,"Кому из борцов за гражданские права принадлежит фраза ""У меня есть мечта...""?",Мартину Лютеру Кингу
341,Какой нагревательный прибор не имеет фитиля?,примус
342,Какое правило помогает определить направление магнитного поля электрического тока?,Правило буравчика
343,"Что чинил кот-бегемот из романа ""Мастер и Маргарита""?",примус
344,"Визитной карточкой какой рок-группы стали длиннющие, обычно рыжие, бороды солистов?","""Зи Зи Топ"""
345,Какое из этих деревьев - не из семейства березовых?,Берест
346,За чем не едет герой известной песенки Юрия Кукина?,за деньгами
347,"На фасаде какой гостиницы Москвы можно увидеть панно Врубеля ""Принцесса Грёза""?","""Метрополь"""
